candidate_id,ministry_code,field_name,sector_name,program_code,fiscal_year,account_type,performance_program_name,priority_tier,priority_reason,account_original_budget,performance_gap,execution_management,budget_performance_mismatch,fiscal_impact,rank_equal,rank_performance_focus,rank_execution_focus,rank_fiscal_impact_adjusted,mean_scenario_rank,scenario_rank_std,best_scenario_rank,worst_scenario_rank,scenario_rank_range,rank_within_ministry_equal,rank_within_ministry_performance_focus,rank_within_ministry_execution_focus,rank_within_ministry_fiscal_impact_adjusted,mean_scenario_rank_within_ministry,scenario_rank_std_within_ministry,best_scenario_rank_within_ministry,worst_scenario_rank_within_ministry,scenario_rank_range_within_ministry,top_5_scenario_count,all_scenario_top_5,top_5_scenario_count_within_ministry,all_scenario_top_5_within_ministry,top_10_scenario_count,all_scenario_top_10,top_10_scenario_count_within_ministry,all_scenario_top_10_within_ministry,exploratory_consensus_order
019:2023:사회복지:고용:1100:FUND,019,사회복지,고용,1100,2023,FUND,직업능력개발,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT,1894749000000,1.0,0.5,0.0,0.8695652173913043,1.0,4.0,10.0,1.0,4.0,3.6742346141747673,1.0,10.0,9.0,2.0,2.0,5.0,4.0,3.25,1.299038105676658,2.0,5.0,3.0,3,False,4,True,4,True,4,True,1
019:2024:사회복지:고용:1100:FUND,019,사회복지,고용,1100,2024,FUND,직업능력개발,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;ACCOUNTING_ADJUSTMENT_CONTEXT,1628382000000,1.0,0.5,0.0,0.8613138686131386,2.0,5.0,11.0,2.0,5.0,3.6742346141747673,2.0,11.0,9.0,1.0,1.0,4.0,1.0,1.75,1.299038105676658,1.0,4.0,3.0,3,False,4,True,3,False,4,True,2
075:2023:보건:보건의료:4000:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4000,2023,RESPONSIBLE_OPERATION_ACCOUNT,국립춘천병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,5694000000,1.0,1.0,0.21742184755883387,0.08695652173913043,4.0,1.0,1.0,29.0,8.75,11.755317945508747,1.0,29.0,28.0,1.0,1.0,1.0,8.0,2.75,3.031088913245535,1.0,8.0,7.0,3,False,3,False,3,False,4,True,3
019:2023:사회복지:고용:1000:FUND,019,사회복지,고용,1000,2023,FUND,고용창출,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;ACCOUNTING_ADJUSTMENT_CONTEXT,913800000000,0.25,1.0,0.30732353906762966,0.7971014492753623,3.0,42.0,4.0,4.0,13.25,16.60383991732033,3.0,42.0,39.0,4.0,10.0,1.0,6.0,5.25,3.2691742076555053,1.0,10.0,9.0,3,False,2,False,3,False,4,True,4
019:2023:사회복지:고용:1200:GENERAL_ACCOUNT,019,사회복지,고용,1200,2023,GENERAL_ACCOUNT,고용안전망확충,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH;PROGRAM_STRUCTURE_CONTEXT,2342583000000,0.3333333333333333,1.0,0.0017029634951390552,0.9130434782608695,5.0,44.0,5.0,3.0,14.25,17.195566289017645,3.0,44.0,41.0,3.0,9.0,2.0,2.0,4.0,2.9154759474226504,2.0,9.0,7.0,3,False,3,False,3,False,4,True,5
075:2024:보건:보건의료:4100:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4100,2024,RESPONSIBLE_OPERATION_ACCOUNT,국립공주병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,5855000000,1.0,1.0,0.0,0.08759124087591241,6.0,2.0,2.0,47.0,14.25,18.978606376654742,2.0,47.0,45.0,3.0,3.0,3.0,18.0,6.75,6.49519052838329,3.0,18.0,15.0,2,False,3,False,3,False,3,False,6
075:2023:사회복지:기초생활보장:1100:GENERAL_ACCOUNT,075,사회복지,기초생활보장,1100,2023,GENERAL_ACCOUNT,기초생활보장,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;BUDGET_PERFORMANCE_MISMATCH,16405912000000,1.0,1.2190727342679882e-07,0.013875851583258523,0.9855072463768116,9.0,11.0,35.0,6.0,15.25,11.54068888758379,6.0,35.0,29.0,4.0,8.0,21.0,1.0,8.5,7.632168761236874,1.0,21.0,20.0,0,False,2,False,2,False,3,False,7
102:2022:산업·중소기업및에너지:중소기업및소상공인육성:4100:FUND,102,산업·중소기업및에너지,중소기업및소상공인육성,4100,2022,FUND,소상공인·전통시장지원,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,47119751000000,1.0,0.0,0.0,1.0,8.0,12.0,36.0,5.0,15.25,12.234684303242156,5.0,36.0,31.0,1.5,1.5,1.5,1.5,1.5,0.0,1.5,1.5,0.0,1,False,4,True,2,False,4,True,8
075:2022:보건:보건의료:4000:RESPONSIBLE_OPERATION_ACCOUNT,075,보건,보건의료,4000,2022,RESPONSIBLE_OPERATION_ACCOUNT,국립춘천병원,MULTIPLE_SIGNAL_REVIEW,PERFORMANCE_BELOW_TARGET;EXECUTION_MANAGEMENT;PROGRAM_STRUCTURE_CONTEXT,5324000000,1.0,1.0,0.0,0.0703125,7.0,3.0,3.0,50.0,15.75,19.84155991851447,3.0,50.0,47.0,2.0,2.0,2.0,17.0,5.75,6.49519052838329,2.0,17.0,15.0,2,False,3,False,3,False,3,False,9
019:2022:사회복지:고용:1200:FUND,019,사회복지,고용,1200,2022,FUND,고용안전망확충,MODERATE_OR_CONTEXT_REVIEW,PERFORMANCE_BELOW_TARGET;PROGRAM_STRUCTURE_CONTEXT,11775073000000,1.0,0.0,0.0,0.96875,10.0,13.0,38.0,7.0,17.0,12.30853362509117,7.0,38.0,31.0,5.0,3.0,11.0,3.0,5.5,3.278719262151,3.0,11.0,8.0,0,False,3,False,2,False,3,False,10
